id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
337839,CN-0110,small_airport,"Meiji Jiao (Mischief Reef) Air Base",9.92102,115.5059,,AS,China,CN,"Hainan Province",CN-46,46,"Sansha (Meiji Jiao / Mischief Reef)",0,,,,,,,50,2022-11-08T04:02:22+00:00
314644,CN-0029,small_airport,"Yongshu Jiao (Fiery Cross Reef) Air Base",9.551747,112.887697,,AS,China,CN,"Hainan Province",CN-46,46,"Sansha (Yongshu Jiao / Fiery Cross Reef)",0,,,,,,"Fiery Cross Reef",50,2022-11-08T09:41:13+00:00
337838,CN-0108,small_airport,"Zhubi Jiao (Subi Reef) Air Base",10.923926,114.070648,,AS,China,CN,"Hainan Province",CN-46,46,"Sansha (Zhubi Jiao / Subi Reef)",0,,,,,,,50,2020-12-16T14:53:07+00:00
351133,CN-0290,small_airport,"Sanya Air Base",18.28754,109.46372,30,AS,China,CN,"Hainan Province",CN-46,46,"Sanya (Tianya)",0,,,,,,,50,2022-11-10T14:09:26+00:00
342174,CN-0155,small_airport,"Shanghai Chongming Airport",31.664,121.5187,16,AS,China,CN,"Shanghai Municipality",CN-31,31,"Shanghai (Chongming)",0,,,,,,,50,2021-10-01T10:11:57+00:00
348164,CN-0199,small_airport,"Shanghai Gaodong Airport",31.33396,121.62176,,AS,China,CN,"Shanghai Municipality",CN-31,31,"Shanghai (Pudong)",0,,,,,,,50,2021-10-01T10:10:56+00:00
324348,CN-0073,small_airport,"Shangluo Airport",33.708533,110.249284,,AS,China,CN,"Shaanxi Province",CN-61,61,"Shangluo (Danfeng)",0,,DFA,,,,,50,2022-08-29T14:40:29+00:00
32295,ZBSH,small_airport,"Qinhuangdao Shanhaiguan Airport",39.968679,119.730635,30,AS,China,CN,"Hebei Province",CN-13,13,"Shanhaiguan, Qinhuangdao",0,ZBSH,,,,https://en.wikipedia.org/wiki/Qinhuangdao_Shanhaiguan_Airport,,50,2021-10-12T16:17:38+00:00
315143,CN-0036,small_airport,"Shantou Waisha Airport",23.426901,116.762001,29,AS,China,CN,"Guangdong Province",CN-44,44,"Shantou (Longhu)",0,,,,,https://en.wikipedia.org/wiki/Shantou_Waisha_Airport,,50,2021-05-14T18:22:06+00:00
350951,CN-0255,small_airport,"Xinchang Wanfeng General Airport",29.4535,121.0104,682,AS,China,CN,"Zhejiang Province",CN-33,33,Shaoxing,0,,,,,,,50,2021-12-22T17:19:21+00:00
350981,CN-0273,small_airport,"Shihezi Tuoling Mengpo Airport",45.042755,86.131661,1119,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Shihezi,0,,,,,,,50,2021-12-23T11:08:29+00:00
44207,CN-0129,small_airport,"Shihezi Shandanhu General Airport",44.333051,86.116674,,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Shihezi,0,,,,,,,50,2022-06-28T16:51:20+00:00
348149,CN-0177,small_airport,"Shijiazhuang Luancheng Airport",37.91305,114.59166,197,AS,China,CN,"Hebei Province",CN-13,13,Shijiazhuang,0,,LCT,,,https://en.wikipedia.org/wiki/Shijiazhuang_Luancheng_Airport,,50,2024-04-15T16:29:31+00:00
350855,CN-0230,small_airport,"PLAAF Shijiazhiang Flight Academy",38.08191,114.41804,282,AS,China,CN,"Hebei Province",CN-13,13,Shijiazhuang,0,,,,,,,50,2021-12-20T17:25:31+00:00
350966,CN-0269,small_airport,"Raohe Bawujiu Farm Airport",47.45055,134.06924,217,AS,China,CN,"Heilongjiang Province",CN-23,23,Shuangyashan,0,,,,,,,50,2021-12-22T21:50:06+00:00
526860,ZBSG,small_airport,"Shuozhou Zirun Airport",39.273241,112.691552,,AS,China,CN,"Shanxi Province",CN-14,14,Shuozhou,0,ZBSG,SZH,,,https://en.wikipedia.org/wiki/Shuozhou_Zirun_Airport,,50,2024-04-25T10:17:49+00:00
525154,ZYSD,small_airport,"Suifenhe Dongning Airport",44.453889,130.843889,1407,AS,China,CN,"Heilongjiang Province",CN-23,23,Suifenhe,0,ZYSD,HSF,,,https://en.wikipedia.org/wiki/Suifenhe_Dongning_Airport,,50,2024-04-09T12:11:51+00:00
350965,CN-0268,small_airport,"Zhaodong Beidahuang General Airport",46.12779,125.77354,469,AS,China,CN,"Heilongjiang Province",CN-23,23,Suihua,0,,HLJ,,,,,50,2022-02-01T15:29:48+00:00
323880,ZUSN,small_airport,"Suining Airport",30.471295,105.610925,,AS,China,CN,"Sichuan Province",CN-51,51,"Suining (Chuanshan)",0,ZUSN,,,,,,50,2022-08-29T14:04:55+00:00
348170,CN-0213,small_airport,"Guangshui Air Base",31.6625,113.81777,,AS,China,CN,"Hubei Province",CN-42,42,Suizhou,0,,,,,,,50,2021-10-01T10:42:10+00:00
307017,ZYTH,small_airport,"Da Hinggan Ling Targen Airport",52.224444,124.720222,1240,AS,China,CN,"Heilongjiang Province",CN-23,23,Tahe,0,ZYTH,,,,,Tahe,50,2021-12-22T21:55:03+00:00
352226,CN-0300,small_airport,"Taiyuan Yaocheng Airport",37.50312,112.424126,,AS,China,CN,"Shanxi Province",CN-14,14,Taiyuan,0,,TYC,,,,,50,2022-02-01T16:04:52+00:00
354335,ZBTG,small_airport,"Tianjin Tanggu Airport",38.898114,117.657244,,AS,China,CN,"Tianjin Municipality",CN-12,12,Tanggu,0,ZBTG,,,,,,50,2022-05-19T15:28:16+00:00
350991,CN-0283,small_airport,"Tekes Zhuque Airport",43.20563,81.79847,,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Tekes,0,,,,,,,50,2021-12-23T13:16:51+00:00
350982,CN-0274,small_airport,"Tiemenguan Shuangfeng Airport",41.77703,85.44939,2953,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Tiemenguan,0,,,,,,铁门关双丰机场,50,2021-12-23T11:12:08+00:00
350983,CN-0275,small_airport,"Tumxuk Hedong Airport",39.43714,78.25212,3724,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Tumxuk,0,,,,,,,50,2021-12-23T11:13:48+00:00
355960,CN-0360,small_airport,"Urad Front Banner Gongmiaozi Airport",40.614366,108.998835,3369,AS,China,CN,"Inner Mongolia Autonomous Region",CN-15,15,"Urad Front Banner",0,,,,,,"Ulashan, ZULL",50,2022-08-02T23:09:43+00:00
328940,WZQ,small_airport,"Urad Middle Banner Airport",41.460289,108.539085,3996,AS,China,CN,"Inner Mongolia Autonomous Region",CN-15,15,"Urad Middle Banner",0,,WZQ,,,https://ceb.wikipedia.org/wiki/Urad_Middle_Banner_Airport,,50,2022-08-01T12:37:41+00:00
350986,CN-0278,small_airport,"Ürümqi Yaxin General Airport",43.67233,87.32347,4285,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Ürümqi,0,,,,,,,50,2021-12-23T11:23:36+00:00
44187,CN-0109,small_airport,"Yidu Air Base",36.586635,118.527603,,AS,China,CN,"Shandong Province",CN-37,37,Weifang,0,,,,,,,50,2021-10-12T15:23:55+00:00
